Model,Dropout,Hidden Layers,Neurons per Layer,Activation,Learning Rate,Batch Size,Regularizer,Optimizer,Loss Function,R2,RMSE,Train Loss,Val Loss,RMSE Step 1,RMSE Step 2,RMSE Step 3,RMSE Step 4,RMSE Step 5,RMSE Step 6
252,0.1,4,64,tanh,0.001,2048,<keras.src.regularizers.L1L2 object at 0x742f8f4ffc10>,SGD,mean_squared_error,0.5697357058525085,0.6615061529901305,0.8822599053382874,1.0954731702804565,0.6828716232537311,0.6493122561955822,0.6236768490375153,0.6237545374073289,0.6733050942472366,0.7115325429733819
253,0.1,4,64,tanh,0.01,2048,<keras.src.regularizers.L2 object at 0x742f8f4ffbe0>,Adam,mean_squared_error,0.9141260981559753,0.29552666754617185,0.099027618765831,0.5769017338752747,0.27013478858677514,0.27664910445186847,0.2834478976259003,0.29760311874380496,0.31457419114255136,0.3265710238821859
254,0.1,4,64,tanh,0.01,2048,<keras.src.regularizers.L2 object at 0x742f8f4ffbe0>,SGD,mean_squared_error,0.9357951283454895,0.2555347304926463,0.1771479845046997,0.14973650872707367,0.2159136762280082,0.2285707063807603,0.24457946100493866,0.2614506524742584,0.27861587946769195,0.295183199691619
255,0.1,4,64,tanh,0.01,2048,<keras.src.regularizers.L1L2 object at 0x742f8f4ffc10>,Adam,mean_squared_error,0.9160969853401184,0.2921155713534443,0.36423853039741516,0.8397353887557983,0.2530952857691478,0.26689345116539404,0.2833100004359596,0.2989455093943768,0.3142485126458195,0.32912314227361145
256,0.1,4,64,tanh,0.01,2048,<keras.src.regularizers.L1L2 object at 0x742f8f4ffc10>,SGD,mean_squared_error,0.7837058901786804,0.46901700045045297,0.4117290675640106,0.5538343191146851,0.4517857831614379,0.4574474491723076,0.46395946942070143,0.47183948542871806,0.4805160344345001,0.4875710422525005
257,0.1,4,64,elu,0.001,2048,<keras.src.regularizers.L2 object at 0x742f8f4ffbe0>,Adam,mean_squared_error,0.9614021182060242,0.1981287288615715,0.04819636419415474,0.10266050696372986,0.11590745960167982,0.15470014023410908,0.17677583571787547,0.21010919328423497,0.23523206305426345,0.2596917185952316
258,0.1,4,64,elu,0.001,2048,<keras.src.regularizers.L2 object at 0x742f8f4ffbe0>,SGD,mean_squared_error,0.9666156768798828,0.18426235685876688,0.04837454482913017,0.046443454921245575,0.097958166685308,0.1318923786087732,0.16460162905967005,0.19545632408442765,0.2234082136852567,0.24803945248314208
259,0.1,4,64,elu,0.001,2048,<keras.src.regularizers.L1L2 object at 0x742f8f4ffc10>,Adam,mean_squared_error,0.9509170651435852,0.2234247314032564,0.11874506622552872,0.1748049110174179,0.1525750988020423,0.16806608975233753,0.19892420496191576,0.2326376948409543,0.2627426720965847,0.29200319628321947
260,0.1,4,64,elu,0.001,2048,<keras.src.regularizers.L1L2 object at 0x742f8f4ffc10>,SGD,mean_squared_error,0.9609913229942322,0.19918033753113387,0.10606776922941208,0.07718732953071594,0.11720268608318704,0.1468465304990988,0.1797648439273455,0.21029625498678606,0.23876538582854262,0.2630459494574116
261,0.1,4,64,elu,0.01,2048,<keras.src.regularizers.L2 object at 0x742f8f4ffbe0>,Adam,mean_squared_error,0.9412956833839417,0.24434366557023096,0.08844544738531113,0.17100900411605835,0.1847230256550971,0.20290543143294393,0.22574412722069714,0.2523836841859867,0.2797914520049249,0.29998994048016503
262,0.1,4,64,elu,0.01,2048,<keras.src.regularizers.L2 object at 0x742f8f4ffbe0>,SGD,mean_squared_error,0.9645513892173767,0.1898741517233217,0.04800913482904434,0.10974426567554474,0.10829638731490246,0.14099276037550132,0.1733780902931814,0.20001276212124416,0.22663498888710815,0.2515624187409758
263,0.1,4,64,elu,0.01,2048,<keras.src.regularizers.L1L2 object at 0x742f8f4ffc10>,Adam,mean_squared_error,0.8262422680854797,0.42037612830494697,0.35654786229133606,0.530192494392395,0.38634591843836946,0.4048516811377646,0.412545883265558,0.4277712671623043,0.4364527262390543,0.4510674022837303
264,0.1,4,64,elu,0.01,2048,<keras.src.regularizers.L1L2 object at 0x742f8f4ffc10>,SGD,mean_squared_error,0.932292640209198,0.2624121774492583,0.1686372011899948,0.5536853671073914,0.20166139931103183,0.22347456358372814,0.24834924716489054,0.2720423615587667,0.2951690232463015,0.3158318941629972
265,0.1,4,128,relu,0.001,2048,<keras.src.regularizers.L2 object at 0x742f8f4ffbe0>,Adam,mean_squared_error,0.9629759192466736,0.19404753174237943,0.05500601604580879,0.0481916107237339,0.11071993464036008,0.14145021522188528,0.17292851413922095,0.2065180150417896,0.23266250991786547,0.258804631859104
266,0.1,4,128,relu,0.001,2048,<keras.src.regularizers.L2 object at 0x742f8f4ffbe0>,SGD,mean_squared_error,0.9673026204109192,0.18235679666413887,0.04183610901236534,0.0581522136926651,0.08991235948321342,0.12779321627783435,0.16263226786886764,0.1943813652441028,0.22274808570763655,0.24752418350449365
267,0.1,4,128,relu,0.001,2048,<keras.src.regularizers.L1L2 object at 0x742f8f4ffc10>,Adam,mean_squared_error,0.9571427702903748,0.2087748091768652,0.15518997609615326,0.24989287555217743,0.11973772114349752,0.14933856474252227,0.18568642019893442,0.22325182147269346,0.25290252315747813,0.27678018325923237
268,0.1,4,128,relu,0.001,2048,<keras.src.regularizers.L1L2 object at 0x742f8f4ffc10>,SGD,mean_squared_error,0.9572835564613342,0.20843151977573307,0.13140526413917542,0.1579980105161667,0.13172915672118155,0.16363090477422462,0.18967529353784432,0.2203824000076661,0.2448236109088163,0.26843415460934694
269,0.1,4,128,relu,0.01,2048,<keras.src.regularizers.L2 object at 0x742f8f4ffbe0>,Adam,mean_squared_error,0.8802821040153503,0.3489359224534216,0.13918094336986542,0.7725129127502441,0.3089002931570107,0.3156547512801851,0.3270236161487225,0.35313544455283236,0.3967279098714044,0.38267785409328703
270,0.1,4,128,relu,0.01,2048,<keras.src.regularizers.L2 object at 0x742f8f4ffbe0>,SGD,mean_squared_error,0.964610755443573,0.18971487034786427,0.04688996449112892,0.042030077427625656,0.11322780917321368,0.13779972238530241,0.17035871480353956,0.19986312101199552,0.22704783690248187,0.2522463971906523
271,0.1,4,128,relu,0.01,2048,<keras.src.regularizers.L1L2 object at 0x742f8f4ffc10>,Adam,mean_squared_error,0.624277651309967,0.6181583494672688,1.0085018873214722,4.335439682006836,0.5952189042138528,0.607070397128091,0.6199716960769437,0.6275578547691156,0.6193969748136562,0.6387994293773334
272,0.1,4,128,relu,0.01,2048,<keras.src.regularizers.L1L2 object at 0x742f8f4ffc10>,SGD,mean_squared_error,0.9454329609870911,0.2355760635333347,0.1987631916999817,0.3496215045452118,0.16079725779786952,0.2086954861525405,0.20716442421204015,0.25097768936926207,0.26886807634068155,0.29218660578150063
273,0.1,4,128,tanh,0.001,2048,<keras.src.regularizers.L2 object at 0x742f8f4ffbe0>,Adam,mean_squared_error,0.9536447525024414,0.21712784805582155,0.0914812907576561,0.14144374430179596,0.15724315255543694,0.17718734642851483,0.200021805792899,0.22732782383261702,0.24833385118500065,0.2709189633483988
274,0.1,4,128,tanh,0.001,2048,<keras.src.regularizers.L2 object at 0x742f8f4ffbe0>,SGD,mean_squared_error,0.9594087600708008,0.203180534767329,0.09718269854784012,0.06396251916885376,0.14185453281663668,0.1608631032616388,0.18640710392450296,0.21147904607237009,0.23566763684310052,0.25824430758061717
275,0.1,4,128,tanh,0.001,2048,<keras.src.regularizers.L1L2 object at 0x742f8f4ffc10>,Adam,mean_squared_error,0.8439664840698242,0.3983594967650583,0.22867679595947266,0.3752914071083069,0.3793282519750297,0.3805613900894779,0.3881863342287042,0.4190992720358246,0.41118124929429994,0.409932438921138
276,0.1,4,128,tanh,0.001,2048,<keras.src.regularizers.L1L2 object at 0x742f8f4ffc10>,SGD,mean_squared_error,0.47651407122612,0.7296568494481668,2.444309711456299,2.4459140300750732,0.6625520718200661,0.6493666263671668,0.777153096314923,0.77190201799224,0.75700079682503,0.7489498040179224
277,0.1,4,128,tanh,0.01,2048,<keras.src.regularizers.L2 object at 0x742f8f4ffbe0>,Adam,mean_squared_error,0.5469638705253601,0.6787856685195531,0.12793008983135223,0.8416960835456848,0.6694096314777922,0.6758479635331966,0.6635075249785672,0.6776101334095694,0.6958155335568859,0.6899918680079486
278,0.1,4,128,tanh,0.01,2048,<keras.src.regularizers.L2 object at 0x742f8f4ffbe0>,SGD,mean_squared_error,0.9348688721656799,0.2573714384876555,0.14497309923171997,0.11750225722789764,0.217006091935395,0.22865155637420864,0.24533887105676944,0.26309155783479443,0.28156726566192,0.29897349997580613
279,0.1,4,128,tanh,0.01,2048,<keras.src.regularizers.L1L2 object at 0x742f8f4ffc10>,Adam,mean_squared_error,0.8708766102790833,0.36238366677406725,1.0786471366882324,1.6181265115737915,0.32791409229406754,0.34609561389516935,0.35694780030333073,0.3672161229745409,0.3810250187601256,0.391394025211577
280,0.1,4,128,tanh,0.01,2048,<keras.src.regularizers.L1L2 object at 0x742f8f4ffc10>,SGD,mean_squared_error,0.16145452857017517,0.9234843995759882,1.5092226266860962,1.6285947561264038,0.9219200953011343,0.9224534025937856,0.9236455890186728,0.924486826404631,0.925466487438241,0.9229639395465837
281,0.1,4,128,elu,0.001,2048,<keras.src.regularizers.L2 object at 0x742f8f4ffbe0>,Adam,mean_squared_error,0.9573408961296082,0.2082915095229935,0.05373713746666908,0.12426221370697021,0.13145318035781972,0.166984195557514,0.1873249017673315,0.2170095512466374,0.24762922488477201,0.26767252968295524
282,0.1,4,128,elu,0.001,2048,<keras.src.regularizers.L2 object at 0x742f8f4ffbe0>,SGD,mean_squared_error,0.9684829115867615,0.17903559019860843,0.036643095314502716,0.03735409304499626,0.09112668086687095,0.1257434251705191,0.15929573308028888,0.19028093128185655,0.21818119192162574,0.24295995313121024
283,0.1,4,128,elu,0.001,2048,<keras.src.regularizers.L1L2 object at 0x742f8f4ffc10>,Adam,mean_squared_error,0.9440407752990723,0.23856233215076278,0.15654967725276947,0.1523573249578476,0.20259370926269757,0.19337925551638066,0.24449896956198855,0.21180507704240265,0.28191307972755913,0.2809338142628145
284,0.1,4,128,elu,0.001,2048,<keras.src.regularizers.L1L2 object at 0x742f8f4ffc10>,SGD,mean_squared_error,0.9606190323829651,0.200128385940491,0.10701592266559601,0.08661409467458725,0.11539275134709993,0.14801883954326575,0.18175278983735657,0.21197964935008326,0.2398677536655589,0.2637871132616777
285,0.1,4,128,elu,0.01,2048,<keras.src.regularizers.L2 object at 0x742f8f4ffbe0>,Adam,mean_squared_error,0.9474248886108398,0.23123639169810223,0.10286898165941238,0.5517961978912354,0.16722614828337096,0.18710961384375727,0.21506425404605914,0.24110477306840183,0.2655027046316083,0.28805575949897017
286,0.1,4,128,elu,0.01,2048,<keras.src.regularizers.L2 object at 0x742f8f4ffbe0>,SGD,mean_squared_error,0.9658072590827942,0.1864801526400675,0.04358017444610596,0.04306315630674362,0.09847357189950212,0.1343082674485047,0.16834188897078756,0.19837721389265747,0.22527242695280272,0.24996309718665963
287,0.1,4,128,elu,0.01,2048,<keras.src.regularizers.L1L2 object at 0x742f8f4ffc10>,Adam,mean_squared_error,0.9047591090202332,0.3112273647894483,0.7443566918373108,1.3339283466339111,0.2618370584754156,0.27680605784310947,0.2975240103144268,0.31972161565525753,0.34016245143380214,0.359929935426759
